trait_key_term	to_remove
""Alzheimer disease, including avohilmo""	NA
""AlzheimerÕs disease, wide definition""	NA
""AlzheimerÕs disease, wide definition"" (more controls excluded)	NA
""Ankylosing spondylitis, strict definition""	NA
""Any mental disorder, or suicide (or attempt), or psychic disorders complicating pregnancy, partum or puerperum or nerve system disorders""	NA
""Atherosclerosis, excluding cerebral, coronary and PAD""	NA
""Atherosclerosis, excluding cerebral, coronary and PAD"" (no controls excluded)	NA
""Atopic  dermatitis, strict definition""	NA
""Atopic dermatitis, strict definition with reimbursement""	NA
""Cardiomyopathies, Primary/intrinsic""	NA
""Cardiomyopathies, Primary/intrinsic"" (no controls excluded)	NA
""Cholangitis (primary sclerosing, PSC), with reimbursement 202""	NA
""Cholelithiasis, broad definition with cholecystitis""	NA
""Crohn disease (strict definition, require KELA, min 2 HDR)""	NA
""Crohn's disease patients in KELA-register (KELA code 209, or 208 with ICD K50)""	NA
""Delirium, not induced by alcohol and other psychoactive substances""	NA
""Dementia, including avohilmo""	NA
""Diabetes, insuline treatment (Kela reimbursement)""	NA
""Diabetes, insuline treatment (Kela reimbursement)"" (more controls excluded)	NA
""Diabetes, several complications""	NA
""Diabetes, varying definitions""	NA
""Diseases of arteries, arterioles and capillaries (FINNGEN)""	NA
""Diseases of arteries, arterioles and capillaries""	NA
""Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (FINNGEN)""	NA
""Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified""	NA
""Disorders of gallbladder, biliary tract and pancreas""	NA
""Disorders of plasma-protein metabolism, not elsewhere classified""	NA
""Disorders of sclera, cornea, iris and ciliary body""	NA
""Disorders of thyroid, IBD co-morbidities""	NA
""Endocrine, nutritional and metabolic diseases""	NA
""Hyperlipidaemia, other/unspecified""	NA
""Hypertension complicating pregnancy, childbirth, and the puerperium""	NA
""Hypertension, essential"" (no controls excluded)	NA
""Hypoglycaemia, other or unspecified""	NA
""Hypothyroidism,  other/unspecified""	NA
""Hypothyroidism, drug reimbursement""	NA
""Hypothyroidism, levothyroxin purchases""	NA
""Hypothyroidism, strict autoimmune, 3 medication purchases required""	NA
""Hypothyroidism, strict autoimmune""	NA
""Inflammatory bowel disease, strict (require KELA)""	NA
""Intrahepatic Cholestasis of Pregnancy (ICP)Ê, incl. ICD-8""	NA
""Ischaemic heart disease, wide definition""	NA
""Lactose intolerance, other/unspecified""	NA
""Myocardial infarction, strict""	NA
""Myocardial infarction, strict"" (no controls excluded)	NA
""Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium""	NA
""Organic, including symptomatic, mental disorders""	NA
""Other diabetes, wide definition""	NA
""Pneumonia, organism unsepcified""	NA
""Psoriasis (vulgaris), strict definition""	NA
""Psoriatic arthropathies, ICD10""	NA
""Pulmonary heart disease, diseases of pulmonary circulation""	NA
""Reactive arthropathies, FINNGEN""	NA
""Sacroiliitis, not elsewhere classified""	NA
""Seropositive rheumatoid arthritis, strict definition""	NA
""Seropositive rheumatoid arthritis, wide""	NA
""SLE, strict definition""	NA
""Symptoms and signs involving cognition, perception, emotional state and behaviour""	NA
""Thyrotoxicosis, other and/or unspecified""	NA
""Type 1 diabetes, strict (exclude DM2)""	NA
""Type 1 diabetes, strict definition, subgroup 1""	NA
""Type 1 diabetes, strict definition""	NA
""Type 1 diabetes, wide definition, subgroup 1""	NA
""Type 1 diabetes, wide definition""	NA
""Type 2 diabetes, definitions combined, including avohilmo""	NA
""Type 2 diabetes, definitions combined""	NA
""Type 2 diabetes, strict (exclude DM1)""	NA
""UC patients in KELA-register ( KELA 208 prior to 1994, or ICD K51)""	NA
""Ulcerative colitis (strict definition, require KELA, min 2 HDR)""	NA
""Ulcerative colitis (strict definition, require KELA)""	NA
3mm asymmetry angle (left)	Y
3mm asymmetry index (left)	Y
3mm asymmetry index (right)	Y
3mm cylindrical power (left)	Y
3mm cylindrical power (right)	Y
3mm cylindrical power angle (right)	Y
3mm index of best keratometry results (left)	NA
3mm regularity index (left)	NA
3mm regularity index (right)	NA
3mm strong meridian (left)	Y
3mm strong meridian (right)	Y
3mm strong meridian angle (left)	Y
3mm strong meridian angle (right)	Y
3mm weak meridian (left)	Y
3mm weak meridian (right)	Y
3mm weak meridian angle (right)	Y
5-alpha reductase inhibitor|BPH|benign prostatic hyperplasia	NA
6mm asymmetry angle (left)	Y
6mm asymmetry index (left)	Y
6mm asymmetry index (right)	Y
6mm cylindrical power (left)	Y
6mm cylindrical power (right)	Y
6mm cylindrical power angle (right)	Y
6mm index of best keratometry results (right)	NA
6mm regularity index (left)	NA
6mm regularity index (right)	NA
6mm strong meridian (left)	Y
6mm strong meridian (right)	Y
6mm strong meridian angle (left)	Y
6mm strong meridian angle (right)	Y
6mm weak meridian (left)	Y
6mm weak meridian (right)	Y
6mm weak meridian angle (right)	Y
A levels/as levels or equivalent | qualifications	Y
A04 Other bacterial intestinal infections	NA
A41 Other septicaemia	NA
A63 Other predominantly sexually transmitted diseases, not elsewhere classified	NA
Abdominal aortic aneurysm	NA
Abdominal aortic aneurysm (AAA)	NA
Abdominal hernia	NA
Abdominal MRI measurement completed	NA
Abdominal MRI measuring method	NA
Abdominal pain	NA
Abdominal subcutaneous adipose tissue volume (ASAT)	NA
Able to confide	Y
Able to pay rent/mortgage as an adult	Y
Abnormal findings on examination of urine	NA
Abnormal findings on mammogram or breast exam	NA
Abnormal glucose	NA
Abnormal granulation tissue	NA
Abnormal heart sounds	NA
Abnormal results of function study of kidney	NA
Abnormal results of function study of liver	NA
Abnormal sputum	NA
Abnormalities of ear ossicles	NA
Abnormalities of forces of labour	NA
Abrasion of teeth	NA
Abscess of anal and rectal regions	NA
Abscess of tendon sheath	NA
Acceptance of an invitation to participate in a mental health questionnaire	Y
ACE inhibitor|anti-hypertensive	NA
Acetaminophen	NA
acetylcholinesterase inhibitor|Alzheimer's	NA
Achalasia of cardia	NA
Achievement	Y
Achilles tendinitis	NA
Acne Vulgaris	NA
Acquired absence of breast	NA
Acquired acanthosis nigricans	NA
Acquired foot deformities	NA
Acquired haemolytic anaemia	NA
Acquired hypothyroidism	NA
Acquired spondylolisthesis	NA
Actinic keratosis	NA
Actions taken following self-harm	NA
Activities undertaken to treat anxiety	NA
Activities undertaken to treat depression	NA
Acute alcohol intoxication	NA
Acute alcohol intoxication, ICD10	NA
Acute and subacute iridocyclitis	NA
Acute appendicitis	NA
Acute appendicitis, no complications	NA
Acute appendicitis, with complications	NA
Acute bronchiolitis	NA
Acute bronchitis	NA
Acute epiglottitis	NA
Acute Kidney Injury	NA
Acute laryngitis and tracheitis	NA
Acute lymphadenitis	NA
Acute nasopharyngitis (common cold)	NA
Acute otitis externa, noninfective	NA
Acute pancreatitis	NA
Acute pericarditis	NA
Acute peritonitis	NA
Acute pharyngitis	NA
Acute posthaemorrhagic anaemia	NA
Acute pulmonary heart disease	NA
Acute reaction to stress	NA
Acute renal failure	NA
Acute suppurative otitis media	NA
Acute tubulo-interstitial nephritis	NA
Acute upper respiratory infections of multiple and unspecified sites	NA
Acute upper respiratory infections of multiple or unspecified sites	NA
Acute vascular insufficiency of intestine	NA
acyclovir	NA
adamantane|Parkinson's|anti-viral	NA
Added milk to espresso	Y
Added milk to rooibos tea	Y
Added milk to standard tea	Y
Adenocarcinoma and ductal carcinoma of pancreas, excluding all cancers (controls excluding all cancers)	NA
Adenocarcinoma and Papillary adenocarcinoma of kidney, excluding all cancers (controls excluding all cancers)	NA
Adenocarcinoma and papillary adenocarcinoma of stomach, excluding all cancers (controls excluding all cancers)	NA
Adenocarcinoma and papilloma adenocarcinoma of rectum	NA
Adenocarcinoma of small intestine, excluding all cancers (controls excluding all cancers)	NA
Adenocarcinoma, papilloma adenocarcinoma and mucinous carcinomas of rectum, excluding all cancers (controls excluding all cancers)	NA
Adenomyosis (Endometriosis of uterus)	NA
Adenosine Deaminase	NA
Adjustment reaction	Y
Administrative and legal statuses	Y
Adrenal Gland Diseases	NA
Adrenal hypofunction	NA
Adrenocortical Hyperfunction	NA
adrenocortical insufficiency	NA
Adrenocortical insufficiency	NA
Adrenocortical insufficiency/addison's disease | non-cancer illness code, self-reported	NA
Adrenogenital disorders	NA
Adrenomedullin	Y
Adult-onset Still disease	NA
Adverse drug events and drug allergies	NA
aerochamber	Y
Age asthma diagnosed	NA
Age asthma diagnosed by doctor	NA
Age at death	NA
Age at first episode of depression	NA
Age at first live birth	Y
Age at hysterectomy	NA
Age at last episode of depression	NA
Age at last live birth	Y
Age at menopause (last menstrual period)	NA
Age at recruitment	Y
Age cataract diagnosed	NA
Age completed full time education	Y
Age diabetes diagnosed	NA
Age emphysema/chronic bronchitis diagnosed	NA
Age first had sexual intercourse	NA
Age hay fever, rhinitis or eczema diagnosed	NA
Age hayfever or allergic rhinitis diagnosed by doctor	NA
Age high blood pressure diagnosed	NA
Age last used hormone-replacement therapy (HRT)	NA
Age of primiparous women at birth of child	NA
Age of stopping smoking	NA
Age started hormone-replacement therapy (HRT)	NA
Age started oral contraceptive pill	Y
Age started smoking in current smokers	NA
Age started smoking in former smokers	NA
Age started wearing glasses or contact lenses	NA
Age stopped smoking	NA
Age stroke diagnosed	NA
Age when first had unusual or psychotic experience	NA
Age when known person last commented about drinking habits	Y
Age when last used oral contraceptive pill	NA
Age when periods started (menarche)	NA
age-related macular degeneration	NA
Age-related macular degeneration (whether dry or wet)	NA
Aging	NA
Agorophobia, social phobia, and panic disorder	NA
Agouti-Related Protein	Y
Agranulocytosis	NA
Alanine aminotransferase	NA
Alanine transaminase levels	NA
Albumin	NA
Albumin/Globulin ratio	NA
Albuminuria	NA
albuterol	NA
Alcohol	NA
Alcohol abuse, main dg (more control exclusions)	NA
Alcohol consumed	NA
alcohol consumption measurement	NA
alcohol dependence	NA
Alcohol intake frequency.	NA
Alcohol intake versus 10 years previously	NA
Alcohol related diseases, tilastokeskus definition, death only	NA
Alcohol use disorder, ICD-based	NA
Alcohol use disorder, Swedish definition	NA
Alcohol usually taken with meals	NA
Alcohol-related disorders	NA
Alcoholic gastritis	NA
Alcoholic liver damage	NA
Alcoholism	NA
alendronic acid	NA
Algoneurodystrophy	NA
alkali metal|anti-manic agent	NA
Alkaline phosphatase	NA
All dysplastic lesions of the cervix uteri	NA
All dysplastic lesions of the cervix uteri, vagina or vulva	NA
All dysplastic lesions of the vagina	NA
All dysplastic lesions of the vulva	NA
All influenza	NA
All pneumoniae	NA
Allergic asthma (mode)	NA
Allergic conjunctivitis	NA
Allergic contact dermatitis	NA
Allergic contact dermatitis due to drugs in contact with skin	NA
Allergic purpura	NA
Allergic reaction to food	NA
Allergic urticaria	NA
Allergies, other	NA
Allergy/adverse effect of penicillin	NA
allopurinol	NA
Alopecia areata	NA
alpha1-antagonist|alpha blocker	NA
Altered mental status	NA
alverine	NA
Alzheimer Disease	NA
Alzheimer disease	NA
Alzheimer disease (more controls excluded)	NA
Alzheimer disease,dementia	NA
Alzheimer's disease	NA
Alzheimer’s disease (Late onset) (more control exclusions)	NA
Alzheimer's disease or family history of Alzheimer's disease	NA
Alzheimer’s disease, wide definition	NA
AlzheimerÕs disease (Atypical or mixed)	NA
AlzheimerÕs disease (Atypical or mixed) (more controls excluded)	NA
AlzheimerÕs disease (Early onset)	NA
AlzheimerÕs disease (Early onset) (more controls excluded)	NA
AlzheimerÕs disease (Late onset)	NA
AlzheimerÕs disease (Late onset) (more controls excluded)	NA
AlzheimerÕs disease (undefined)	NA
AlzheimerÕs disease (undefined) (more controls excluded)	NA
amantadine	NA
amblyopia (disease)	NA
Amblyopia ex anopsia	NA
Amino-terminal enhancer of split measurement	Y
aminoglycoside antibiotic|corticosteroid|antibiotic	NA
aminoglycoside antibiotic|dihydrofolate reductase inhibitor|antibiotic	NA
aminosalicylates|anti-inflammatory|IBD	NA
amiodarone	NA
amitriptyline	NA
amlodipine	NA
Amnesia, Transient Global	NA
amorolfine	NA
Amount of alcohol drunk on a typical drinking day	NA
amoxicillin	NA
amoxicillin/clavulanic acid	NA
Amyloidosis	NA
Amyloidosis, other/unspecified	NA
Amyotrophic Lateral Sclerosis	NA
Anaemias	NA
Anal and rectal conditions	NA
Anal and rectal polyp	NA
Anankastic personality disorder	NA
Anaphylactic shock due to adverse effect of correct drug or medication properly administered	NA
anastrozole	NA
Anatomical abnormatilies of kidney and ureters	NA
Anemia	NA
anemia (phenotype)	NA
Anemia, Aplastic	NA
Anemia, Iron-Deficiency	NA
Anemia, Pernicious	NA
Aneurysm of artery of lower extremity	NA
Aneurysms, operations, SAH	NA
Angina pectoris	NA
angina pectoris	NA
Angina Pectoris	NA
Angina pectoris (no controls excluded)	NA
Angina, Unstable	NA
Angioplasty	NA
angiotensin receptor blocker|anti-hypertensive|ARB	NA
angiotensin receptor blocker|ARB|anti-hypertensive	NA
Anisometropia and aniseikonia	NA
Ankle spacing width	NA
Ankle spacing width (left)	NA
Ankle spacing width (right)	NA
ankylosing spondylitis	NA
Ankylosing spondylitis	NA
Ankylosing spondylitis, strict definition	NA
Anomalies of dental arch relationship, including avohilmo	NA
Anomalies of pupillary function	NA
Anorexia	NA
Anorexia (incl.atypical)	NA
Anosmia	NA
Answered sexual history questions	NA
Antepartum haemorrhage, not elsewhere classified	NA
Anterior Iridocyclitis	NA
Anterior thigh lean muscle volume (left)	NA
anti-anginal agent|Nitrate|potassium channel agonist	NA
anti-arrhythmic	NA
anti-arrhythmic|non-selective beta-blocker|beta blocker	NA
anti-coagulant|factor X inhibitor	NA
anti-coagulant|vitamin K epoxide reductase inhibitor	NA
Anti-Epstein-Barr virus nuclear antigen (EBNA) IgG levels	NA
anti-fibrinolytic	NA
anti-fungal	NA
anti-fungal|corticosteroid	NA
anti-gout agent|microtuble polymerization inhibitor	NA
anti-inflammatory	NA
anti-malarial	NA
anti-metabolite	NA
anti-migraine agent|serotonin receptor antagonist	NA
Anticoagulants causing adverse effects	NA
anticonvulsant|sodium channel blocker	NA
anticonvulsant|voltage-gated calcium channel inhibitor|neuropathy	NA
Antihypertensive medication - note that there are other indications	NA
antipyretic	NA
antiseptic|aminoglycoside antibiotic	NA
Antisocial/borderline personality disorder	NA
antispasmodic	NA
Antithrombin-III measurement	Y
Antiviral	NA
Anxiety	NA
anxiety	NA
Anxiety disorder	NA
Anxiety Disorders	NA
anxiety,panic disorder	NA
Any dementia	NA
Any dementia (more controls excluded)	NA
Any mental disorder	NA
Any mental disorder, or suicide (or attempt), or psychic disorders complicating pregnancy, partum or puerperium or nerve system disorders (more control exclusions)	NA
Aortic Aneurysm	NA
Aortic aneurysm	NA
Aortic valve disease	NA
Aphakia	NA
Aphakia and other disorders of lens	NA
Apolipoprotein A	NA
Apolipoprotein B	NA
Appendectomy	NA
Appendiceal conditions	NA
Appendicitis	NA
appendicitis	NA
Apple intake	Y
Arm fat mass (left)	NA
Arm fat mass (right)	NA
Arm fat percentage (left)	NA
Arm fat percentage (right)	NA
Arm fat-free mass (left)	NA
Arm fat-free mass (right)	NA
Arm predicted mass (left)	NA
Arm predicted mass (right)	NA
aromatase inhibitor|breast cancer	NA
Arrhythmias, Cardiac	NA
Arterial embolism and thrombosis	NA
Arterial embolism and thrombosis of lower extremity artery	NA
arthralgia	NA
Arthritis	NA
arthritis	NA
Arthritis, Juvenile	NA
Arthritis, Psoriatic	NA
Arthritis, Reactive	NA
Arthritis, Rheumatoid	NA
Arthropathic psoriasis	NA
Arthropathies in other diseases classified elsewhere	NA
Arthropathy associated with infections	NA
Arthropathy associated with other disorders classified elsewhere	NA
Arthropathy in Crohn disease	NA
Arthropathy in ulcerative colitis	NA
Arthropathy NOS	NA
Arthrosis	NA
Artrosis, including avohilmo	NA
Ascites (non malignant)	NA
Aspartate aminotransferase	NA
Aspartate Aminotransferases	NA
aspirin	NA
Aspirin	NA
Asthma	NA
asthma	NA
Asthma (only as main-diagnosis)	NA
Asthma (only as main-diagnosis) (more controls excluded)	NA
Asthma and allergy	NA
Asthma mixed form (mode) (more control exclusions)	NA
Asthma-related acute respiratory infections	NA
Asthma-related infections	NA
Asthma-related pneumonia	NA
Asthma, unspecified (mode)	NA
Asthma/COPD (KELA code 203)	NA
Astigmatism	NA
astigmatism	NA
Astigmatism angle (left)	NA
Asymmetry of jaw	NA
atenolol	NA
Atenolol	NA
atenolol/chlorthalidone	NA
Atherosclerosis	NA
Atherosclerosis of aorta	NA
Atherosclerosis of the extremities	NA
Atherosclerosis, excluding cerebral and coronary sclerosis	NA
Atlantoaxial subluxation	NA
Atopic dermatitis	NA
Atopic/contact dermatitis due to other or unspecified	NA
atorvastatin	NA
Atorvastatin	NA
atovaquone/proguanil	NA
Atrial Fibrillation	NA
atrial fibrillation	NA
Atrial fibrillation and flutter	NA
Atrial fibrillation and flutter (no controls excluded)	NA
Atrial fibrillation and flutter with reimbursement	NA
Atrial septal defect	NA
Atrioventricular [AV] block	NA
Atrophic disorders of skin	NA
Atrophy of female genital tract	NA
Attempted fluid intelligence (FI) test.	NA
Attendance/disability/mobility allowance	NA
Atypical mycobacterium lung infection	NA
auditory system disease	NA
autism spectrum disorder	NA
Autoimmune Diseases	NA
Autoimmune diseases	NA
Autoimmune diseases excluding thyroid diseases	NA
Autoimmune hepatitis	NA
Autoimmune hyperthyroidism	NA
Autoimmune polyglandular failure	NA
AV-block	NA
Average 16-hour sound level of noise pollution	Y
Average 24-hour sound level of noise pollution	Y
Average daytime sound level of noise pollution	Y
Average evening sound level of noise pollution	Y
Average monthly beer plus cider intake	NA
Average monthly champagne plus white wine intake	NA
Average monthly fortified wine intake	Y
Average monthly intake of other alcoholic drinks	NA
Average monthly spirits intake	Y
Average night-time sound level of noise pollution	NA
Average total household income before tax	NA
Average weekly beer plus cider intake	Y
Average weekly champagne plus white wine intake	Y
Average weekly fortified wine intake	Y
Average weekly red wine intake	Y
Average weekly spirits intake	Y
Avocado intake	Y
Avoided activities or situations because of previous stressful experience in past month	NA
Axin-1 levels	NA
azathioprine	NA
B18 Chronic viral hepatitis	NA
B95 Streptococcus and staphylococcus as the cause of diseases classified to other chapters	NA
B96 Other bacterial agents as the cause of diseases classified to other chapters	NA
B98 Other specified infectious agents as the cause of diseases classified to other chapters	NA
Back Pain	NA
back pain	NA
Back pain	NA
Background diabetic retinopathy	NA
baclofen	NA
Bacon intake	Y
Bacterial infection, other or unspecified	NA
Bacterial Infections	NA
Bacterial pneumonia	NA
Bacterial pneumoniae	NA
Bacterial sepsis of newborn	NA
bacteriostatic antibiotic|antibiotic	NA
bacteriostatic antibiotic|corticosteroid	NA
Baguette intake	Y
Baked bean intake	Y
Banana intake	Y
Barrett oesophagus	NA
Barrett's esophagus,Esophagitis	NA
basal cell carcinoma	NA
Basal cell carcinoma, excluding all cancers (controls excluding all cancers)	NA
Basal cell carcinoma, including avohilmo, excluding all cancers (controls excluding all cancers)	NA
Basal metabolic rate	NA
Basal Metabolism	NA
Basophill count	NA
Basophill percentage	NA
beclometasone	NA
beclometasone dipropionate	NA
Beclomethasone	NA
beclomethasone dipropionate	NA
Beef intake	Y
Been in a confiding relationship as an adult	Y
Beer/cider intake	NA
Beetroot intake	Y
Behavior	Y
Behavioural and miscellaneous addictions	Y
Belief that own life is meaningful	Y
Believed safe to perform brain MRI scan	Y
Belittlement by partner or ex-partner as an adult	Y
Bell's palsy	NA
bendrofluazide	NA
bendroflumethiazide	NA
Bendroflumethiazide	NA
Benign leiomyoma with endometriosis (controls excluding all cancers)	NA
Benign lipomatous neoplasm	NA
Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck	NA
Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs	NA
Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites	NA
Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk	NA
Benign mammary dysplasia	NA
Benign mammary dysplasias	NA
Benign neoplasm of bone and articular cartilage	NA
Benign neoplasm of brain and other parts of central nervous system	NA
Benign neoplasm of brain, cranial nerves, meninges	NA
Benign neoplasm of breast	NA
Benign neoplasm of colon	NA
Benign neoplasm of colon, rectum, anus and anal canal	NA
Benign neoplasm of eye	NA
Benign neoplasm of eye and adnexa	NA
Benign neoplasm of kidney and other urinary organs	NA
Benign neoplasm of major salivary glands	NA
Benign neoplasm of other and unspecified endocrine glands	NA
Benign neoplasm of other and unspecified sites	NA
Benign neoplasm of other parts of digestive system	NA
Benign neoplasm of ovary	NA
Benign neoplasm of parathyroid gland	NA
Benign neoplasm of skin	NA
Benign neoplasm of thyroid gland	NA
Benign neoplasm of unspecified sites	NA
Benign neoplasm of urinary organs	NA
Benign neoplasm of uterus	NA
Benign neoplasm: Adrenal gland	NA
Benign neoplasm: Appendix	NA
Benign neoplasm: Ascending colon	NA
Benign neoplasm: Caecum	NA
Benign neoplasm: Central nervous system, other parts/unspecified	NA
Benign neoplasm: Cerebral meninges	NA
Benign neoplasm: Choroid	NA
Benign neoplasm: Colon	NA
Benign neoplasm: Colon, unspecified	NA
Benign neoplasm: Connective and other soft tissue of thorax	NA
Benign neoplasm: Connective and other soft tissue of upper limb, including shoulder	NA
Benign neoplasm: Cranial nerves	NA
Benign neoplasm: Descending colon	NA
Benign neoplasm: Duodenum	NA
Benign neoplasm: Endocrine pancreas	NA
Benign neoplasm: Ill-defined sites within the digestive system	NA
Benign neoplasm: Larynx	NA
Benign neoplasm: Lip	NA
Benign neoplasm: Liver/bile ducts	NA
Benign neoplasm: Long bones of lower limb	NA
Benign neoplasm: Middle ear, nasal cavity and accessory sinuses	NA
Benign neoplasm: Other and unspecified parts of mouth	NA
Benign neoplasm: Other and unspecified parts of small intestine	NA
Benign neoplasm: Other/unspecified site	NA
Benign neoplasm: Parathyroid gland	NA
Benign neoplasm: Parotid gland	NA
Benign neoplasm: Pituitary gland, craniopharyngeal duct	NA
Benign neoplasm: Rectosigmoid junction	NA
Benign neoplasm: Rectum	NA
Benign neoplasm: Rectum, anus and anal canal	NA
Benign neoplasm: Retina	NA
Benign neoplasm: salivary glands, exclude unknown (D119)	NA
Benign neoplasm: Scapula and long bones of upper limb	NA
Benign neoplasm: Short bones of lower limb	NA
Benign neoplasm: Short bones of upper limb	NA
Benign neoplasm: Sigmoid colon	NA
Benign neoplasm: Spinal cord	NA
Benign neoplasm: Stomach	NA
Benign neoplasm: Transverse colon	NA
Benign neoplasm: Vagina	NA
Benign neoplasm: Vulva	NA
Benign neoplasms	NA
