Olink ID*	UniProt ID	Protein name	Gene name
OID40001	Q9NUQ8	ATP-binding cassette sub-family F member 3	ABCF3
OID40002	Q8WTS1	1-acylglycerol-3-phosphate O-acyltransferase ABHD5	ABHD5
OID40003	Q96I13	Protein ABHD8	ABHD8
OID40004	Q9H845	Complex I assembly factor ACAD9, mitochondrial	ACAD9
OID40005	Q6NUN0	Acyl-coenzyme A synthetase ACSM5, mitochondrial	ACSM5
OID40006	Q8IZF7	Adhesion G-protein coupled receptor F2	ADGRF2
OID40007	Q6ULP2	Aftiphilin	AFTPH
OID40008	Q8N157	Jouberin	AHI1
OID40009	C9J069	Apical junction component 1 homolog	AJM1
OID40010	P24588	A-kinase anchor protein 5	AKAP5
OID40011	Q86TB3	Alpha-protein kinase 2	ALPK2
OID40012	Q99218	Amelogenin, Y isoform	AMELY
OID40013	Q9UM13	Anaphase-promoting complex subunit 10	ANAPC10
OID40014	Q5TYW2	Ankyrin repeat domain-containing protein 20A1	ANKRD20A1
OID40015	Q6NSI1	Putative ankyrin repeat domain-containing protein 26-like protein	ANKRD26P1
OID40016	O15084	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	ANKRD28
OID40017	A5PLL1	Ankyrin repeat domain-containing protein 34B	ANKRD34B
OID40018	P0C6C1	Ankyrin repeat domain-containing protein 34C	ANKRD34C
OID40019	Q96IX9	Putative ankyrin repeat domain-containing protein 26-like 1	ANKRD36BP1
OID40020	Q5TZF3	Ankyrin repeat domain-containing protein 45	ANKRD45
OID40021	Q9NQW6	Anillin	ANLN
OID40022	O00213	Amyloid beta precursor protein binding family B member 1	APBB1
OID40023	Q9UBZ4	DNA-(apurinic or apyrimidinic site) endonuclease 2	APEX2
OID40024	Q8IW19	Aprataxin and PNK-like factor	APLF
OID40025	Q9Y235	C->U-editing enzyme APOBEC-2	APOBEC2
OID40026	Q7Z2E3	Aprataxin	APTX
OID40027	P29972	Aquaporin-1	AQP1
OID40028	O15033	Apoptosis-resistant E3 ubiquitin protein ligase 1	AREL1
OID40029	Q9Y6D5	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	ARFGEF2
OID40030	Q9P2F6	Rho GTPase-activating protein 20	ARHGAP20
OID40031	A8MVX0	Rho guanine nucleotide exchange factor 33	ARHGEF33
OID40032	Q8TER5	Rho guanine nucleotide exchange factor 40	ARHGEF40
OID40033	Q8N8R7	ARL14 effector protein	ARL14EP
OID40034	Q9UBL0	cAMP-regulated phosphoprotein 21	ARPP21
OID40035	P36575	Arrestin-C	ARR3
OID40036	O00192	Splicing regulator ARVCF	ARVCF
OID40037	Q8TDY4	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3	ASAP3
OID40038	Q8WXH4	Ankyrin repeat and SOCS box protein 11	ASB11
OID40039	Q9NWX5	Ankyrin repeat and SOCS box protein 6	ASB6
OID40040	Q9C0F0	Putative Polycomb group protein ASXL3	ASXL3
OID40041	Q8WWH4	Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1	ASZ1
OID40042	P18847	Cyclic AMP-dependent transcription factor ATF-3	ATF3
OID40043	Q15904	V-type proton ATPase subunit S1	ATP6AP1
OID40044	P46100	Transcriptional regulator ATRX	ATRX
OID40045	P54253	Ataxin-1	ATXN1
