outcome_datasets	outcome_trait	num_assoc_loci	outcome_trait_efo	outcome_data_source
FINNGEN_R5_N14_HYPERTROPHYBREAST	Hypertrophy of breast	10	HP_0010313	FinnGEN
FINNGEN_R5_PAIN	Pain (limb, back, neck, head abdominally)	9	EFO_0003766, HP_0002315, HP_0009763	FinnGEN
GCST006586	Urinary albumin excretion	44	EFO_0004285	GWAS Catalog
GCST006908	Ischemic stroke	10	HP_0002140	GWAS Catalog
GCST90012790	Percentage of invited food questionnaires completed	13	EFO_0010130	GWAS Catalog
GCST90012792	Acceptance of an invitation to participate in a mental health questionnaire	39	EFO_0010130	GWAS Catalog
GCST90012794	Participation in an health questionnaire (not invited vs invited)	32	EFO_0010130	GWAS Catalog
GCST90038609	Angina	27	EFO_0003913	GWAS Catalog
GCST90038615	Deep venous thrombosis	10	EFO_0003907	GWAS Catalog
GCST90038690	High cholesterol	100	HP_0003124	GWAS Catalog
NEALE2_1210	Snoring	36	HP_0025267	UK Biobank
NEALE2_1717	Skin colour	197	EFO_0003784	UK Biobank
NEALE2_1747_1	Blonde | hair colour (natural, before greying)	240	EFO_0003924	UK Biobank
NEALE2_1747_2	Red | hair colour (natural, before greying)	63	EFO_0003924	UK Biobank
NEALE2_1747_3	Light brown | hair colour (natural, before greying)	75	EFO_0003924	UK Biobank
NEALE2_1747_4	Dark brown | hair colour (natural, before greying)	224	EFO_0003924	UK Biobank
NEALE2_1747_5	Black | hair colour (natural, before greying)	104	EFO_0003924	UK Biobank
NEALE2_1920	Mood swings	43	HP_0000720	UK Biobank
NEALE2_1940	Irritability	36	HP_0000737	UK Biobank
NEALE2_2257	Hearing difficulty/problems with background noise	20	HP_0000364	UK Biobank
NEALE2_2316	Wheeze or whistling in the chest in last year	38	EFO_0009715	UK Biobank
NEALE2_2724	Had menopause	32	EFO_0003922	UK Biobank
NEALE2_30530_raw	Sodium in urine	45	HP_0012603	UK Biobank
NEALE2_4700_raw	Age cataract diagnosed	18	HP_0011141	UK Biobank
NEALE2_6147_1	For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') | reason for glasses/contact lenses	19	HP_0000545	UK Biobank
NEALE2_6150_2	Angina | vascular/heart problems diagnosed by doctor	17	EFO_0003913	UK Biobank
NEALE2_6159_1	Headache | pain type(s) experienced in last month	36	HP_0002315	UK Biobank
NEALE2_6159_7	Knee pain | pain type(s) experienced in last month	9	HP_0030839	UK Biobank
SAIGE_272_11	Hypercholesterolemia	40	HP_0003124	UK Biobank
SAIGE_411_3	Angina pectoris	21	EFO_0003913	UK Biobank
SAIGE_454	Varicose veins	22	HP_0002619	UK Biobank
SAIGE_550	Abdominal hernia	11	HP_0004299	UK Biobank
SAIGE_550_1	Inguinal hernia	28	HP_0000023	UK Biobank
SAIGE_550_2	Diaphragmatic hernia	10	EFO_0008561	UK Biobank
SAIGE_728_7	Fasciitis	38	HP_0100537	UK Biobank
FINNGEN_R5_CD2_BENIGN_LEIOMYOMA_UTERI_EXALLC	Leiomyoma of uterus (controls excluding all cancers)	51	HP_0000131	FinnGEN
FINNGEN_R5_H7_CATARACTSENILE	Senile cataract	14	HP_0011141	FinnGEN
FINNGEN_R5_I9_ANGINA	Angina pectoris	21	EFO_0003913	FinnGEN
FINNGEN_R5_I9_PHLETHROMBDVTLOW	DVT of lower extremities	29	EFO_0003907	FinnGEN
FINNGEN_R5_I9_VARICVE	Varicose veins	54	HP_0002619	FinnGEN
FINNGEN_R5_K11_HERING	Inguinal hernia	33	HP_0000023	FinnGEN
FINNGEN_R5_K11_UMBHER	Umbilical hernia	8	HP_0001537	FinnGEN
FINNGEN_R5_M13_HALLUXVALGUS	Hallux valgus (acquired)	9	HP_0001822	FinnGEN
GCST000568	Fasting blood glucose	15	EFO_0004465	GWAS Catalog
GCST000755	HDL cholesterol	66	EFO_0004612	GWAS Catalog
GCST000758	Triglycerides	35	EFO_0004530	GWAS Catalog
GCST000759	LDL cholesterol	58	EFO_0004611	GWAS Catalog
GCST000760	Cholesterol, total	73	EFO_0004574	GWAS Catalog
GCST001791	Urate levels	38	EFO_0004531	GWAS Catalog
GCST002216	Triglycerides	75	EFO_0004530	GWAS Catalog
GCST002221	Cholesterol, total	147	EFO_0004574	GWAS Catalog
GCST002222	LDL cholesterol	122	EFO_0004611	GWAS Catalog
GCST002223	HDL cholesterol	143	EFO_0004612	GWAS Catalog
GCST002783	Body mass index	91	EFO_0004340	GWAS Catalog
GCST003372	Glomerular filtration rate (creatinine)	49	EFO_0004518, EFO_0005208	GWAS Catalog
GCST003401	Glomerular filtration rate in non diabetics (creatinine)	50	EFO_0004518, EFO_0005208	GWAS Catalog
GCST003496	Educational attainment	13	EFO_0004784	GWAS Catalog
GCST003659	Modified Stumvoll Insulin Sensitivity Index (BMI interaction)	10	EFO_0004340, EFO_0004471	GWAS Catalog
GCST003770	Neuroticism	10	EFO_0007660	GWAS Catalog
GCST004074	Intraocular pressure	17	EFO_0004695	GWAS Catalog
GCST004075	Vertical cup-disc ratio	23	EFO_0006939	GWAS Catalog
GCST004076	Optic disc area	12	EFO_0006937	GWAS Catalog
GCST004137	Optic cup area	67	EFO_0006940	GWAS Catalog
GCST004422	Vascular endothelial growth factor levels	13	EFO_0004762	GWAS Catalog
GCST004424	TRAIL levels	21	EFO_0008300	GWAS Catalog
GCST004433	Macrophage inflammatory protein 1b levels	59	EFO_0008219	GWAS Catalog
GCST004439	Interleukin-12p70 levels	10	EFO_0004753	GWAS Catalog
GCST004599	Mean platelet volume	340	EFO_0004584	GWAS Catalog
GCST004600	Eosinophil percentage of white cells	226	EFO_0007991	GWAS Catalog
GCST004601	Red blood cell count	247	EFO_0004305	GWAS Catalog
GCST004602	Mean corpuscular volume	344	EFO_0004526	GWAS Catalog
GCST004603	Platelet count	325	EFO_0004309	GWAS Catalog
GCST004604	Hematocrit	168	EFO_0004348	GWAS Catalog
GCST004605	Mean corpuscular hemoglobin concentration	105	EFO_0004528	GWAS Catalog
GCST004606	Eosinophil counts	246	EFO_0004842	GWAS Catalog
GCST004607	Plateletcrit	304	EFO_0007985	GWAS Catalog
