hgnc_symbol	chromosome_name	start_position	end_position
A1BG	19	58345178	58353492
A2M	12	9067664	9116229
AAMDC	11	77821100	77918432
AARSD1	17	42950431	42964498
ABHD14A	3	51971426	51981197
ABHD14B	3	51968510	51983409
ABL1	9	130713043	130887675
ABL2	1	179099330	179229684
ABO	HG2030_PATCH	76358	102118
ABO	9	133233278	133276024
ABRAXAS2	10	124801805	124836670
ACAA1	3	38103129	38137647
ACADSB	10	123008972	123058290
ACAN	15	88803436	88875353
ACAP2	3	195274738	195443091
ACE	17	63477058	63498380
ACE2	X	15494566	15607236
ACHE	7	100889994	100897022
ACLY	17	41866916	41930545
ACOT13	6	24666921	24705065
ACOX1	17	75941507	75979459
ACP1	2	264140	279100
ACP2	11	47238400	47249288
ACP5	19	11574653	11579993
ACP6	1	147629652	147670531
ACRBP	12	6638075	6647433
ACTN2	1	236664141	236764631
ACVR1B	12	51951679	51997082
ACVRL1	12	51906908	51923361
ACY1	3	51983047	51989205
ACY3	11	67642551	67650900
ACYP1	14	75053221	75069483
ACYP2	2	53970838	54305300
ADA	20	44584896	44652252
ADA2	22	17178790	17258235
ADAM11	17	44758988	44781846
ADAM12	10	126012381	126388477
ADAM15	1	155050566	155062780
ADAM22	7	87934136	88202889
ADAM23	2	206443498	206621301
ADAM8	10	133262416	133276909
ADAM9	HSCHR8_9_CTG1	7546	10827
ADAM9	8	38996754	39105445
ADAMTS13	HG2030_PATCH	240452	285496
ADAMTS13	9	133414358	133459402
ADAMTS15	11	130448645	130476645
ADAMTS16	5	5140329	5320304
ADAMTS4	1	161184302	161200509
ADAMTS5	21	26917922	26967088
ADAMTS8	11	130404923	130428609
ADAMTSL2	9	133532164	133575522
ADAMTSL4	1	150549369	150560937
ADAMTSL5	19	1505022	1513604
ADD1	4	2843576	2930082
ADGRB3	6	68635282	69390571
ADGRD1	12	130953055	131142466
ADGRE1	19	6887566	6940459
ADGRE2	19	14732392	14778560
ADGRE5	19	14380501	14408729
ADGRF5	6	46852310	46956392
ADGRG1	16	57610652	57665580
ADGRG2	X	18989307	19122956
ADGRV1	5	90529344	91164437
ADH1B	4	99304971	99321659
ADH4	4	99123657	99157792
ADIPOQ	3	186842704	186858463
ADM	11	10303392	10307397
ADRA2A	10	111077029	111080907
AFAP1	4	7758713	7939926
AFM	4	73481665	73504036
AFP	4	73431138	73456174
AGER	HSCHR6_MHC_APD_CTG1	3513570	3516926
AGER	HSCHR6_MHC_SSTO_CTG1	3497175	3500531
AGER	HSCHR6_MHC_COX_CTG1	3619320	3622676
AGER	HSCHR6_MHC_MANN_CTG1	3485949	3489305
AGER	HSCHR6_MHC_MCF_CTG1	3522987	3526343
AGER	HSCHR6_MHC_QBL_CTG1	3404169	3407525
AGER	6	32180963	32184344
AGGF1	5	77029251	77065234
AGR2	7	16791387	16833433
AGR3	7	16859412	16881987
AGRN	1	1020120	1056119
AGRP	16	67482571	67483548
AGT	1	230690776	230745576
AGXT	2	240868543	240881531
AHCY	20	34280268	34311802
AHNAK	11	62433542	62556235
AHNAK2	14	104937244	104978374
AHSA1	14	77457743	77469482
AHSG	3	186612776	186621318
AHSP	16	31527876	31528803
AIDA	1	222668013	222713210
AIF1	HSCHR6_MHC_SSTO_CTG1	2914470	2916307
AIF1	HSCHR6_MHC_DBB_CTG1	2862951	2864788
AIF1	HSCHR6_MHC_COX_CTG1	3092473	3094310
AIF1	HSCHR6_MHC_MCF_CTG1	2957070	2958907
AIF1	HSCHR6_MHC_QBL_CTG1	2871006	2872843
AIF1	6	31615217	31617021
AIF1L	9	131096476	131123152
AIFM1	X	130124666	130165879
